epcho,loss,acc
534,0.26494282,0.86875
535,0.12521875,0.959375
536,0.19243714,0.91875
537,0.21707244,0.91875
538,0.19036567,0.909375
539,0.19918069,0.93125
540,0.22751363,0.9125
541,0.19296393,0.940625
542,0.21057972,0.928125
543,0.18778953,0.94375
544,0.16009414,0.9375
545,0.18825583,0.91875
546,0.15022054,0.9375
547,0.17685547,0.909375
548,0.18896756,0.921875
549,0.1874717,0.928125
550,0.1756504,0.9375
551,0.17581399,0.95
552,0.22312972,0.90625
553,0.19457841,0.934375
554,0.17704904,0.96875
555,0.21295758,0.90625
556,0.18567091,0.940625
557,0.16131881,0.940625
558,0.2192709,0.9
559,0.15270096,0.946875
560,0.13927759,0.946875
561,0.2070092,0.91875
562,0.18727548,0.91875
563,0.21936898,0.921875
564,0.18567535,0.928125
565,0.18094012,0.928125
566,0.1742141,0.946875
567,0.13015234,0.9625
568,0.14856435,0.940625
569,0.22380869,0.896875
570,0.19639356,0.925
571,0.16079876,0.9375
572,0.17230488,0.940625
573,0.16178843,0.946875
574,0.1786718,0.9375
575,0.18303499,0.925
576,0.15168867,0.95625
577,0.19692314,0.91875
578,0.13911495,0.95
579,0.17386422,0.93125
580,0.1572818,0.940625
581,0.18976071,0.93125
582,0.14220163,0.940625
583,0.18074143,0.925
584,0.20244054,0.93125
585,0.20051832,0.94375
586,0.12893629,0.953125
587,0.120339274,0.965625
588,0.16718102,0.940625
589,0.19280104,0.9375
590,0.14600629,0.953125
591,0.14390646,0.95625
592,0.1312075,0.9625
593,0.14610672,0.94375
594,0.11718486,0.95625
595,0.18091309,0.93125
596,0.16076377,0.9375
597,0.18435234,0.9375
598,0.1581819,0.95
599,0.16806513,0.94375
600,0.18885629,0.93125
601,0.15563704,0.95625
602,0.14214428,0.959375
603,0.13866568,0.965625
604,0.15116695,0.940625
605,0.15950637,0.940625
606,0.110989906,0.971875
607,0.1516802,0.95625
608,0.14316662,0.95
609,0.15642643,0.946875
610,0.10940053,0.975
611,0.13712716,0.95625
612,0.16326505,0.95
613,0.1546154,0.946875
614,0.113411225,0.971875
615,0.18096736,0.925
616,0.1439386,0.934375
617,0.10590234,0.965625
618,0.1559923,0.9375
619,0.1408473,0.9375
620,0.18110287,0.921875
621,0.15331042,0.953125
622,0.12465974,0.96875
623,0.14927363,0.95
624,0.15330276,0.940625
625,0.14236291,0.971875
626,0.12957399,0.9625
627,0.152257,0.953125
628,0.15053853,0.94375
629,0.14880964,0.953125
630,0.18543379,0.94375
631,0.1147851,0.978125
632,0.11953688,0.959375
633,0.16696529,0.94375
634,0.13638496,0.95625
635,0.1177603,0.971875
636,0.10728528,0.971875
637,0.14261326,0.94375
638,0.13844045,0.946875
639,0.09804443,0.971875
640,0.14031604,0.959375
641,0.11483548,0.96875
642,0.13992956,0.946875
643,0.18423028,0.940625
644,0.15914634,0.940625
645,0.092446454,0.99375
646,0.12387736,0.946875
647,0.12846866,0.95
648,0.12995861,0.965625
649,0.11634733,0.96875
650,0.11074481,0.978125
651,0.12122649,0.965625
652,0.09347113,0.975
653,0.11740853,0.959375
654,0.14359042,0.953125
655,0.10500564,0.971875
656,0.10956447,0.96875
657,0.12644182,0.96875
658,0.13282228,0.959375
659,0.12632956,0.975
660,0.10818048,0.9875
661,0.1318931,0.959375
662,0.101502,0.978125
663,0.1313062,0.95625
664,0.11876072,0.953125
665,0.14787868,0.946875
666,0.13007267,0.95
667,0.11217594,0.98125
668,0.13474423,0.95
669,0.10298363,0.98125
670,0.12374457,0.965625
671,0.124211594,0.975
672,0.12987006,0.975
673,0.12589094,0.95
674,0.12809575,0.9625
675,0.10147552,0.96875
676,0.095529124,0.9625
677,0.09620948,0.984375
678,0.10711678,0.96875
679,0.09565166,0.9875
680,0.110834494,0.96875
681,0.11255463,0.971875
682,0.119575106,0.96875
683,0.1151361,0.965625
684,0.10714662,0.971875
685,0.11798098,0.965625
686,0.11641526,0.95625
687,0.11033847,0.965625
688,0.12738378,0.953125
689,0.14727326,0.940625
690,0.10823251,0.96875
691,0.101541236,0.971875
692,0.0898124,0.98125
693,0.1061483,0.971875
694,0.112867996,0.9625
695,0.08909124,0.9875
696,0.095603034,0.975
697,0.09338745,0.96875
698,0.13069877,0.9625
699,0.109146796,0.971875
700,0.11175828,0.971875
701,0.14415063,0.959375
702,0.08561459,0.978125
703,0.09402774,0.9875
704,0.08743204,0.96875
705,0.10186952,0.96875
706,0.09712212,0.978125
707,0.07930577,0.98125
708,0.09730138,0.965625
709,0.069587305,0.996875
710,0.08190143,0.9875
711,0.090788916,0.9875
712,0.10826173,0.971875
713,0.092857376,0.9875
714,0.10328349,0.971875
715,0.104749896,0.965625
716,0.08513218,0.975
717,0.116341785,0.953125
718,0.14866306,0.9375
719,0.10077162,0.959375
720,0.102131486,0.98125
721,0.08334683,0.99375
722,0.11550715,0.975
723,0.09487662,0.978125
724,0.08831311,0.98125
725,0.08920786,0.978125
726,0.08860242,0.965625
